item,part_stem,qty_top_level_transport_closed,material_or_proxy,process_or_role,procurement_boundary,notes
30,LidLatchFastenerPack_V11_16xM3,1,"A4-70 stainless fasteners; SOLIDWORKS AISI 304 representation","Latch-body/doubler/lid through-fastener pack",Commodity fasteners; exact vendor and locking detail not frozen,"One top-level pack contains 16 M3 through-fasteners; pack quantity is 1"
31,LidCompressionStopPack_V11_EPDM_MetalStop,1,"Production 70A EPDM pads plus 5052 metal stops; SOLIDWORKS applies NEOPRENE to mixed-material positional envelope","Lid preload and compression-limit pack",Mixed custom/commodity assembly; pad compound adhesive and stop detail not frozen,"One top-level pack contains 8 EPDM pads plus 4 metal hard stops (12 bodies); pack quantity is 1"
32,BackSkin_V11_5052_RymoviaPhaseHalo,1,5052-H32,"Independent 1.5 mm rear shear skin with artwork",Fabricate to released production drawing after sheet-metal/finish DFM,"Includes VESA, perimeter and rear-foot clearances; artwork is a finish layer, not structural"
33,BackVesaDoubler_V11_5052_Separate,1,5052-H32,"Separate 160 x 160 x 0.5 mm VESA doubler",Fabricate from stock sheet,"Bonded only for sealing/anti-rattle and clamped by VESA screws; distinct BOM item"
34,BackPerimeterFastenerPack_V11_12xM4,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Rear-skin perimeter fastener pack",Commodity fasteners and sealing washers; exact vendor and locking process not frozen,"One top-level pack contains 12 M4 screws; pack quantity is 1"
35,BackFeetPack_V11_4xCapturedEPDM,1,"Production EPDM; SOLIDWORKS NEOPRENE is mass proxy","Replaceable rear panel foot pack",COTS/custom rubber feet; exact supplier part not frozen,"One top-level pack contains 4 diameter-22 x 8 mm feet; each is screw-retained"
36,BackFeetFastenerPack_V11_4xM4,1,"A4-70 stainless screws and washers; SOLIDWORKS AISI 304 representation","Rear-foot retention fastener pack",Commodity fasteners; exact vendor not frozen,"One top-level pack contains 4 M4 screws plus diameter-12 washers; pack quantity is 1"
37,VesaLoadFrame_V11_OnePiece6061,1,6061-T6,"One-piece welded/machined VESA ladder load frame",Fabricate after weld/machining DFM,"Four M4 VESA interfaces plus four side-frame ties; physical pullout/cyclic proof remains required"
38,VesaFastenerPack_V11_4xM4_4xSideM4,1,"Stainless fasteners; SOLIDWORKS AISI 304 representation","VESA and frame side-tie fastener pack",Commodity fasteners; external screw length must be selected for final arm stack,"One top-level pack contains 4 external VESA M4 screws plus 4 internal M4 side ties; pack quantity is 1"
39,FrontAntiTipBracketPack_V11_DoubleShear,1,6061-T6,"Machined/fabricated internal double-shear U-bracket pack",Fabricate after supplier DFM,"One top-level pack contains 2 brackets; each uses four independent M4 lower-edge mounts"
40,FrontAntiTipLink_V11_124mm_17_4PH,2,"Production 17-4PH H900; SOLIDWORKS AISI 304 is mass proxy","Machined 124 mm front anti-tip link with swept stop guide and integral rib",Custom heat-treated precision part; supplier DFM required,"Full 8 x 20 mm arm; retained 8 mm stop carries normal load; physical fatigue/proof validation pending"
41,FrontAntiTipFoot_V11_OvermouldCaptured,2,"Production 70A EPDM; SOLIDWORKS NEOPRENE is mass proxy","Overmoulded captured front anti-tip pad",Custom elastomer overmould; compound and vendor not frozen,"20 mm round crown; friction acceptance requires physical testing"
42,FrontAntiTipPivotPack_V11_Retained8mm,1,"Production 17-4PH full-shank retained axles; SOLIDWORKS AISI 304 is mass proxy","Front pivot axle pack",Custom or qualified shoulder hardware; final supplier specification not frozen,"One top-level pack contains left and right 7.8 mm shaft / 17.4 mm grip axles; pack quantity is 1"
43,FrontAntiTipStopPack_V11_Retained8mm,1,"Production 17-4PH full-shank retained axles; SOLIDWORKS AISI 304 is mass proxy","Front positive hard-stop axle pack",Custom or qualified shoulder hardware; final supplier specification not frozen,"One top-level pack contains left and right 7.8 mm shaft / 17.4 mm grip axles; pack quantity is 1"
44,FrontAntiTipLockPack_V11_M6_FlushCaptive,1,"Stainless captive shoulder screws; SOLIDWORKS AISI 304 representation","Front-link folded/deployed position-lock pack",Specialty captive hardware; supplier DFM required,"One top-level pack contains left and right M6 position screws; separate 8 mm stop axles carry normal load"
45,FrontAntiTipBracketFastenerPack_V11_8xM4,1,"A4-80 stainless fasteners; SOLIDWORKS AISI 304 representation","Front-bracket mounting fastener pack",Commodity fasteners; exact vendor and locking process not frozen,"One top-level pack contains 8 M4 screws, four per U bracket; pack quantity is 1"
46,UpperAdapterBlank_V04_95mm,1,5052-H32,"Retained V04 removable undrilled power-adapter cassette",Fabricate after power inlet and cable-clearance design is frozen,"95 x 80 x 2 mm blank with 75 x 60 mm support opening; no AC inlet, DC voltage, connector or power topology selected"
47,UpperMidiUsb_V04_3xDIN_USB_C_Inline,1,5052-H32,"Retained V04 top interface cassette with three DIN-5 and one USB-C mechanical openings",Fabricate after exact connector parts and electronics are frozen,"Mechanical provisions only; no MIDI/USB electronics are included"
48,UpperAudio_V04_2x4_TRS635,1,5052-H32,"Retained V04 top interface cassette with 2 x 4 TRS openings",Fabricate after exact jack parts and I/O direction are frozen,"Eight 6.35 mm mechanical apertures only; no audio circuitry or I/O direction is defined"
